metric,family,n,mean_diff,p
n_user_msg,BoundedRational,9,-1.5555555555555556,0.04296875
n_user_msg,Convergent,41,0.14634146341463414,0.3600138134867922
n_user_msg,Divergent,38,-1.4473684210526316,0.0008266015549705891
n_user_msg,Rational,9,1.4444444444444444,0.3046875
user_words,BoundedRational,9,29.0,0.1015625
user_words,Convergent,41,26.70731707317073,0.0036970565420759998
user_words,Divergent,38,28.81578947368421,0.1773783329921188
user_words,Rational,9,97.0,0.00390625
user_mean_len,BoundedRational,9,7.278377486710822,0.01171875
user_mean_len,Convergent,41,2.808274516811102,0.013320912838929538
user_mean_len,Divergent,38,6.6003224351328065,0.0014659234075224958
user_mean_len,Rational,9,10.907936507936508,0.00390625
user_q_rate,BoundedRational,9,-0.18477201810535146,0.203125
user_q_rate,Convergent,41,-0.17187521150935783,1.3443125686224432e-05
user_q_rate,Divergent,38,-0.19834780157922574,0.0002648885781056969
user_q_rate,Rational,9,-0.29625220458553797,0.0390625
user_word_share,BoundedRational,9,0.044831586312049344,0.09765625
user_word_share,Convergent,41,0.0064582691750778845,0.7680801663736929
user_word_share,Divergent,38,-0.012440576016407716,0.3138352721653064
user_word_share,Rational,9,0.07041190910495437,0.02734375
user_len_slope,BoundedRational,9,2.347572797572798,0.01171875
user_len_slope,Convergent,41,0.24058442463128774,0.6442444748572598
user_len_slope,Divergent,38,1.6978837725741744,0.007961244446050841
user_len_slope,Rational,9,4.536833536833536,0.30078125
duration_min,BoundedRational,9,-3.0074074037838727,0.25
duration_min,Convergent,41,1.013414635430885,0.023855222052588942
duration_min,Divergent,38,0.1548245598218943,0.1372737561896787
duration_min,Rational,9,4.1444444470107555,0.00390625
u_propose,BoundedRational,9,0.040690790690790686,0.30078125
u_propose,Convergent,41,0.036172364221144705,0.27395167904839335
u_propose,Divergent,38,0.03170134389174637,0.3469448861185368
u_propose,Rational,9,8.818342151676071e-05,0.9453125
u_critique,BoundedRational,9,-0.016523599856933188,1.0
u_critique,Convergent,41,0.05693581486264413,0.058697415459907615
u_critique,Divergent,38,0.048225594065377346,0.05846402786549236
u_critique,Rational,9,0.05260141093474427,0.375
u_compare,BoundedRational,9,0.0,
u_compare,Convergent,41,0.004984514130855594,0.5929800980174267
u_compare,Divergent,38,-0.0018403852769177844,0.5929800980174267
u_compare,Rational,9,0.022222222222222216,0.625
u_clarify,BoundedRational,9,0.0,
u_clarify,Convergent,41,-0.003270509977827051,0.4922069926558157
u_clarify,Divergent,38,0.0013534968643327768,0.6858304344516057
u_clarify,Rational,9,0.0,
u_commit,BoundedRational,9,0.15239698573031904,0.00390625
u_commit,Convergent,41,0.004407922700605628,0.8138356048942466
u_commit,Divergent,38,-0.024589409128882814,0.5222853483476976
u_commit,Rational,9,-0.12901234567901235,0.0078125
u_reframe,BoundedRational,9,-0.010791677458344124,0.75
u_reframe,Convergent,41,-0.003048780487804878,0.4142161782425252
u_reframe,Divergent,38,0.004636591478696742,0.28504940740261275
u_reframe,Rational,9,-0.009259259259259259,1.0
u_question,BoundedRational,9,-0.18477201810535146,0.203125
u_question,Convergent,41,-0.17187521150935783,1.3443125686224432e-05
u_question,Divergent,38,-0.19834780157922574,0.0002648885781056969
u_question,Rational,9,-0.29625220458553797,0.0390625
a_propose,BoundedRational,9,0.6208991625658293,0.00390625
a_propose,Convergent,41,0.47872080494031716,8.173353775475946e-08
a_propose,Divergent,38,0.6139788101475406,7.72155405156078e-08
a_propose,Rational,9,0.4956349206349206,0.00390625
a_critique,BoundedRational,9,0.18876339709673043,0.015625
a_critique,Convergent,41,0.035906370052711516,0.0611534813290544
a_critique,Divergent,38,0.03361006683375104,0.02275814179840887
a_critique,Rational,9,0.21393298059964724,0.0078125
a_compare,BoundedRational,9,0.018518518518518517,1.0
a_compare,Convergent,41,0.006282335550628233,0.35976606463568694
a_compare,Divergent,38,0.009731058415268942,0.46183801815063774
a_compare,Rational,9,0.041666666666666664,0.5
a_commit,BoundedRational,9,0.035233285233285234,0.25
a_commit,Convergent,41,-0.03964057622594208,0.040531389932525294
a_commit,Divergent,38,-0.018071110176373334,0.3816244849275112
a_commit,Rational,9,-0.022222222222222223,1.0
a_reframe,BoundedRational,9,0.0,
a_reframe,Convergent,41,-0.0012670256572695595,0.6547208460185769
a_reframe,Divergent,38,0.015236006683375103,0.06788915486182899
a_reframe,Rational,9,0.015873015873015872,1.0
u_early_propose,BoundedRational,9,0.025925925925925925,0.71875
u_early_propose,Convergent,41,0.005691056910569107,0.7000910846700672
u_early_propose,Divergent,38,0.0017543859649122818,0.9371612798678799
u_early_propose,Rational,9,0.0,1.0
u_late_commit,BoundedRational,9,0.0,
u_late_commit,Convergent,41,-0.0020325203252032514,0.8539232992870668
u_late_commit,Divergent,38,0.03508771929824561,0.17971249487899976
u_late_commit,Rational,9,0.0,
u_first_commit_frac,Convergent,5,-0.04802412555811395,1.0
u_first_critique_frac,Convergent,9,0.0841864336842816,0.4609375
u_first_critique_frac,Divergent,9,0.17442911023922378,0.12890625
recovery_after_critique,Convergent,11,0.05151515151515151,0.474609375
recovery_after_critique,Divergent,10,0.2330952380952381,0.19921875
ai_word_share,BoundedRational,9,-0.04483158631204934,0.09765625
ai_word_share,Convergent,41,-0.006458269175077882,0.7680801663736929
ai_word_share,Divergent,38,0.012440576016407716,0.3138352721653064
ai_word_share,Rational,9,-0.0704119091049544,0.02734375
