name,n,mean_1,mean_2,mean_diff,sd_diff,t,p_t,W,p_w,dz
a_propose Persona vs GPT,97,0.7633957966432193,0.21692616224150488,0.5464696344017145,0.23605229557048324,22.80046338551679,1.5830754618090773e-40,13.0,2.6717206471911956e-17,2.3150363061753967
user_q_rate Persona vs GPT,97,0.27571217442351464,0.4706948356205482,-0.19498266119703353,0.25568992098755217,-7.51048964514663,3.0407687454564314e-11,581.0,7.850214594272347e-10,-0.7625746859475385
u_question Persona vs GPT,97,0.27571217442351464,0.4706948356205482,-0.19498266119703353,0.25568992098755217,-7.51048964514663,3.0407687454564314e-11,581.0,7.850214594272347e-10,-0.7625746859475385
a_critique Persona vs GPT,97,0.09232208227053589,0.02661475122815329,0.06570733104238259,0.1322238584456822,4.894291904496315,3.976740744187114e-06,233.5,6.883410168695169e-06,0.496940051627485
user_mean_len Persona vs GPT,97,22.8017209880612,17.341635073874308,5.460085914186885,11.45509620544305,4.694470372834082,8.881902642716241e-06,906.0,1.215057381929135e-07,0.4766512490390476
user_words Persona vs GPT,97,183.16494845360825,148.89690721649484,34.2680412371134,89.48714007516173,3.771503536786875,0.0002805351840742262,1196.0,2.1581918390066306e-05,0.3829381652864434
u_critique Persona vs GPT,97,0.1220022817960962,0.07569670155328129,0.04630558024281493,0.17354380826902335,2.627907499495314,0.010002967273994889,972.0,0.007143589783856121,0.2668235801938445
user_len_slope Persona vs GPT,97,2.1455379631209097,0.7399379447976269,1.4056000183232833,5.4561053138316895,2.5372594388113128,0.012783487033173996,1510.0,0.001821632498909719,0.2576196641146145
a_commit Persona vs GPT,97,0.012067256912617738,0.034694743973094494,-0.02262748706047675,0.10080078948920083,-2.210844811830488,0.029421001137385914,127.0,0.05005681560445364,-0.22447728013976437
u_first_critique_frac Persona vs GPT,20,0.4989224535354567,0.36919166507848966,0.129730788456967,0.2672333477755593,2.1710378901368097,0.042803023757465815,47.0,0.05340584148798349,0.48545883040736265
a_compare Persona vs GPT,97,0.01857727038139409,0.0065254905461091025,0.012051779835284989,0.06250677535691315,1.8989343983675508,0.06057591749484695,32.5,0.03699674000312598,0.1928075759222809
a_reframe Persona vs GPT,97,0.00837870605911843,0.0014727540500736377,0.0069059520090447935,0.03719787891893615,1.8284843464148661,0.07058213564481497,5.0,0.12545785464424308,0.1856544569139186
n_user_msg Persona vs GPT,97,8.536082474226804,9.051546391752577,-0.5154639175257731,2.8140769729383726,-1.8040483165487577,0.07435985546435867,1339.5,0.09105077900452228,-0.18317335399235424
u_propose Persona vs GPT,97,0.22293691417402758,0.19144486501975888,0.031492049154268675,0.21254727412973592,1.4592551952383435,0.1477593259424545,1403.5,0.12320318437188625,0.14816491664365625
duration_min Persona vs GPT,97,10.664776632461466,10.070274913750742,0.5945017187107239,5.147582766697068,1.1374587172033475,0.2581776037213194,1276.0,0.00012087663489769842,0.11549143465102246
recovery_after_critique Persona vs GPT,24,0.33749999999999997,0.24801587301587302,0.08948412698412696,0.4014987920640855,1.0918610741650259,0.286200009255541,95.0,0.30592257415795865,0.2228752084759545
user_word_share Persona vs GPT,97,0.3269580938699891,0.31840924225856915,0.008548851611419935,0.08880769951083242,0.9480757226377705,0.34547139909573094,2185.0,0.49078436365333256,0.0962625049236545
ai_word_share Persona vs GPT,97,0.6730419061300109,0.6815907577414305,-0.008548851611419933,0.08880769951083242,-0.9480757226377703,0.34547139909573116,2185.0,0.49078436365333256,-0.09626250492365448
u_late_commit Persona vs GPT,97,0.021477663230240546,0.008591065292096219,0.01288659793814433,0.1357315815773736,0.9350680892888055,0.3520993747403823,7.0,0.4605966187047713,0.09494177985982091
u_compare Persona vs GPT,97,0.009765177548682703,0.0063174410657733885,0.003447736482909315,0.04781836100884611,0.7101093730911597,0.47935773057773406,21.0,0.5076243443095237,0.07210068287935474
u_commit Persona vs GPT,97,0.07491580584364091,0.08051591878911465,-0.0056001129454737696,0.1536817231013393,-0.3588892352384618,0.7204660578844662,2249.0,0.9082879762119975,-0.03643968087071094
u_reframe Persona vs GPT,97,0.006991862661965755,0.008324521984315799,-0.0013326593223500437,0.03813074447586524,-0.34421494635047273,0.7314374981997124,27.0,0.9592477380355144,-0.034949732575862695
u_early_propose Persona vs GPT,97,0.08616838487972507,0.0806701030927835,0.005498281786941584,0.19406294394421303,0.2790424301166944,0.7808125071840429,353.0,0.7960035432957917,0.028332466132855155
u_clarify Persona vs GPT,97,0.006455314445005167,0.007307459066100666,-0.0008521446210955008,0.04295407126823559,-0.1953866292981953,0.8455032319079356,25.0,0.7982172482487114,-0.01983850647763066
u_first_commit_frac Persona vs GPT,9,0.43128039274671837,0.40173567059015974,0.029544722156558664,0.5934800958819365,0.14934648539132872,0.8849765549977571,21.0,0.91015625,0.04978216179710957
