conversation_id,user,condition,family,challenge,archetype
154,24,GPT,Convergent,Bicycle,2
171,24,Persona,Convergent,Library,0
155,25,GPT,Convergent,Bicycle,1
169,25,Persona,Convergent,Library,1
157,27,GPT,Convergent,Bicycle,1
172,27,Persona,Convergent,Library,1
158,28,GPT,Convergent,Bicycle,1
168,28,Persona,Convergent,Library,1
159,29,GPT,Convergent,Bicycle,1
167,29,Persona,Convergent,Library,1
160,30,GPT,Convergent,Bicycle,1
176,30,Persona,Convergent,Library,1
161,31,GPT,Convergent,Bicycle,1
175,31,Persona,Convergent,Library,0
162,32,GPT,Convergent,Bicycle,1
170,32,Persona,Convergent,Library,0
164,33,GPT,Convergent,Bicycle,1
166,33,Persona,Convergent,Library,1
180,34,GPT,Divergent,Library,1
189,34,Persona,Divergent,Bicycle,0
182,35,GPT,Divergent,Library,0
190,35,Persona,Divergent,Bicycle,0
183,36,GPT,Divergent,Library,0
188,36,Persona,Divergent,Bicycle,1
184,37,GPT,Divergent,Library,0
192,37,Persona,Divergent,Bicycle,0
185,38,GPT,Divergent,Library,0
187,38,Persona,Divergent,Bicycle,0
194,39,Persona,BoundedRational,Bicycle,0
214,39,GPT,BoundedRational,Library,0
195,40,Persona,BoundedRational,Bicycle,0
209,40,GPT,BoundedRational,Library,0
196,41,Persona,BoundedRational,Bicycle,1
211,41,GPT,BoundedRational,Library,0
204,42,Persona,BoundedRational,Bicycle,1
206,42,GPT,BoundedRational,Library,1
199,43,Persona,BoundedRational,Bicycle,0
212,43,GPT,BoundedRational,Library,0
200,44,Persona,BoundedRational,Bicycle,0
208,44,GPT,BoundedRational,Library,0
201,45,Persona,BoundedRational,Bicycle,0
210,45,GPT,BoundedRational,Library,0
202,46,Persona,BoundedRational,Bicycle,1
205,46,GPT,BoundedRational,Library,0
203,47,Persona,BoundedRational,Bicycle,1
213,47,GPT,BoundedRational,Library,0
216,48,Persona,Rational,Library,0
233,48,GPT,Rational,Bicycle,0
217,49,Persona,Rational,Library,0
231,49,GPT,Rational,Bicycle,0
218,50,Persona,Rational,Library,1
232,50,GPT,Rational,Bicycle,1
219,51,Persona,Rational,Library,0
227,51,GPT,Rational,Bicycle,0
220,52,Persona,Rational,Library,0
236,52,GPT,Rational,Bicycle,0
221,53,Persona,Rational,Library,0
226,53,GPT,Rational,Bicycle,0
222,54,Persona,Rational,Library,1
230,54,GPT,Rational,Bicycle,0
223,55,Persona,Rational,Library,0
234,55,GPT,Rational,Bicycle,0
224,56,Persona,Rational,Library,1
229,56,GPT,Rational,Bicycle,0
241,61,GPT,Divergent,Bicycle,1
279,61,Persona,Divergent,Library,0
244,64,GPT,Divergent,Bicycle,0
261,64,Persona,Divergent,Library,0
295,67,Persona,Divergent,Library,1
309,67,GPT,Divergent,Bicycle,1
296,68,Persona,Divergent,Library,0
306,68,GPT,Divergent,Bicycle,0
297,69,Persona,Divergent,Library,0
305,69,GPT,Divergent,Bicycle,0
298,70,Persona,Divergent,Library,1
303,70,GPT,Divergent,Bicycle,0
299,71,Persona,Divergent,Library,2
308,71,GPT,Divergent,Bicycle,0
300,72,Persona,Divergent,Library,0
307,72,GPT,Divergent,Bicycle,0
301,73,Persona,Divergent,Library,1
304,73,GPT,Divergent,Bicycle,0
311,74,Persona,Convergent,Bicycle,1
323,74,GPT,Convergent,Library,1
313,76,Persona,Convergent,Bicycle,0
320,76,GPT,Convergent,Library,0
314,77,Persona,Convergent,Bicycle,1
325,77,GPT,Convergent,Library,0
315,78,Persona,Convergent,Bicycle,0
324,78,GPT,Convergent,Library,0
316,79,Persona,Convergent,Bicycle,1
321,79,GPT,Convergent,Library,1
319,80,Persona,Convergent,Bicycle,0
327,80,GPT,Convergent,Library,0
318,81,Persona,Convergent,Bicycle,0
326,81,GPT,Convergent,Library,0
328,82,GPT,Divergent,Bicycle,0
349,82,Persona,Divergent,Library,0
329,83,GPT,Divergent,Bicycle,0
348,83,Persona,Divergent,Library,0
330,84,GPT,Divergent,Bicycle,0
340,84,Persona,Divergent,Library,0
332,85,GPT,Divergent,Bicycle,0
342,85,Persona,Divergent,Library,1
333,86,GPT,Divergent,Bicycle,1
344,86,Persona,Divergent,Library,0
334,87,GPT,Divergent,Bicycle,1
350,87,Persona,Divergent,Library,1
335,88,GPT,Divergent,Bicycle,0
341,88,Persona,Divergent,Library,1
336,89,GPT,Divergent,Bicycle,0
343,89,Persona,Divergent,Library,0
337,90,GPT,Divergent,Bicycle,0
347,90,Persona,Divergent,Library,0
338,91,GPT,Divergent,Bicycle,0
346,91,Persona,Divergent,Library,0
339,92,GPT,Divergent,Bicycle,0
351,92,Persona,Divergent,Library,0
352,93,GPT,Convergent,Library,0
362,93,Persona,Convergent,Bicycle,0
354,94,GPT,Convergent,Library,0
361,94,Persona,Convergent,Bicycle,0
355,95,GPT,Convergent,Library,0
366,95,Persona,Convergent,Bicycle,2
356,96,GPT,Convergent,Library,0
364,96,Persona,Convergent,Bicycle,0
357,97,GPT,Convergent,Library,0
365,97,Persona,Convergent,Bicycle,0
358,98,GPT,Convergent,Library,0
363,98,Persona,Convergent,Bicycle,0
368,100,Persona,Convergent,Library,0
399,100,GPT,Convergent,Bicycle,1
370,102,Persona,Convergent,Library,0
391,102,GPT,Convergent,Bicycle,0
372,104,Persona,Convergent,Library,0
392,104,GPT,Convergent,Bicycle,0
373,105,Persona,Convergent,Library,1
394,105,GPT,Convergent,Bicycle,0
374,106,Persona,Convergent,Library,0
404,106,GPT,Convergent,Bicycle,0
375,107,Persona,Convergent,Library,0
390,107,GPT,Convergent,Bicycle,0
384,108,Persona,Convergent,Library,0
393,108,GPT,Convergent,Bicycle,0
377,109,Persona,Convergent,Library,0
401,109,GPT,Convergent,Bicycle,0
378,110,Persona,Convergent,Library,0
406,110,GPT,Convergent,Bicycle,0
467,111,Persona,Convergent,Bicycle,0
470,111,GPT,Convergent,Library,0
380,112,Persona,Convergent,Library,2
398,112,GPT,Convergent,Bicycle,0
381,113,Persona,Convergent,Library,0
403,113,GPT,Convergent,Bicycle,0
382,114,Persona,Convergent,Library,0
396,114,GPT,Convergent,Bicycle,0
385,116,Persona,Convergent,Library,0
397,116,GPT,Convergent,Bicycle,0
386,117,Persona,Convergent,Library,0
402,117,GPT,Convergent,Bicycle,0
411,118,Persona,Divergent,Library,2
425,118,GPT,Divergent,Bicycle,0
413,119,Persona,Divergent,Library,0
428,119,GPT,Divergent,Bicycle,0
414,120,Persona,Divergent,Library,0
423,120,GPT,Divergent,Bicycle,0
415,121,Persona,Divergent,Library,1
426,121,GPT,Divergent,Bicycle,1
416,122,Persona,Divergent,Library,0
420,122,GPT,Divergent,Bicycle,0
418,124,Persona,Divergent,Library,0
419,124,GPT,Divergent,Bicycle,1
429,125,GPT,Divergent,Library,0
441,125,Persona,Divergent,Bicycle,1
431,126,GPT,Divergent,Library,0
439,126,Persona,Divergent,Bicycle,0
432,127,GPT,Divergent,Library,0
444,127,Persona,Divergent,Bicycle,1
433,128,GPT,Divergent,Library,0
440,128,Persona,Divergent,Bicycle,0
434,129,GPT,Divergent,Library,0
442,129,Persona,Divergent,Bicycle,0
437,130,GPT,Divergent,Library,0
445,130,Persona,Divergent,Bicycle,0
436,131,GPT,Divergent,Library,0
443,131,Persona,Divergent,Bicycle,0
466,149,Persona,Convergent,Bicycle,1
473,149,GPT,Convergent,Library,0
468,150,Persona,Convergent,Bicycle,0
472,150,GPT,Convergent,Library,0
469,151,Persona,Convergent,Bicycle,1
471,151,GPT,Convergent,Library,2
474,152,Persona,Convergent,Bicycle,1
475,152,GPT,Convergent,Library,1
