i,mid,exp,con,cri,tone,cer,com,ref,prop,qtype
0,757,2,0,0,none,1,0,1,0,open_what_if
1,772,2,0,0,none,1,0,0,0,open_what_if
2,780,0,1,0,none,2,0,0,1,none
3,794,2,1,0,none,2,0,1,1,open_what_if
4,796,2,1,0,none,1,0,1,0,open_what_if
5,844,2,1,0,none,2,0,1,1,open_what_if
6,854,1,2,0,none,3,1,0,2,criteria_setting
7,879,1,0,0,none,2,0,0,1,none
8,886,1,1,0,none,2,0,0,1,open_what_if
9,891,0,0,0,none,1,0,0,0,none
10,899,0,0,0,none,1,0,0,0,clarify
11,900,0,0,0,none,1,0,0,0,clarify
12,911,0,1,0,none,2,0,0,0,clarify
13,932,1,2,0,none,2,0,0,0,criteria_setting
14,952,1,2,0,none,2,0,0,1,open_what_if
15,975,0,0,0,none,1,0,0,0,clarify
16,998,1,2,0,none,2,1,0,1,open_what_if
17,1017,2,1,0,none,2,0,1,2,none
18,1056,1,1,0,none,2,0,0,2,none
19,1070,0,0,0,none,1,0,0,0,clarify
20,1116,0,2,0,none,3,1,0,3,none
21,1137,0,1,0,none,1,0,0,0,clarify
22,1154,0,0,0,none,1,0,0,0,clarify
23,1172,3,1,0,none,2,0,2,1,open_what_if
24,1174,3,0,0,none,2,0,2,2,open_what_if
25,1202,1,1,0,none,2,0,0,2,clarify
26,1217,2,1,0,none,2,0,0,2,none
27,1218,3,1,0,none,2,0,2,2,open_what_if
28,1221,0,0,0,none,1,0,0,0,none
29,1223,0,0,0,none,1,0,0,0,clarify
30,1224,0,0,0,none,1,0,0,0,clarify
31,1236,0,0,0,none,1,0,0,0,none
32,1237,0,0,0,none,1,0,0,0,clarify
33,1240,0,0,0,none,1,0,0,0,clarify
34,1242,1,2,0,none,2,1,0,1,open_what_if
35,1244,1,2,0,none,2,1,0,1,open_what_if
36,1255,0,1,0,none,2,0,0,0,clarify
37,1256,0,1,0,none,2,0,0,0,clarify
38,1258,2,1,0,none,2,1,0,1,open_what_if
39,1260,2,1,0,none,2,0,0,1,open_what_if
40,1261,0,0,0,none,1,0,0,0,clarify
41,1262,1,1,0,none,2,0,0,1,open_what_if
42,1265,0,0,0,none,2,1,0,1,none
43,1267,1,0,0,none,2,0,0,2,none
44,1268,0,0,0,none,1,0,0,0,clarify
45,1276,2,1,0,none,2,0,0,1,open_what_if
46,1279,1,0,0,none,2,0,0,2,none
47,1280,2,1,0,none,2,0,0,1,open_what_if
48,1283,1,2,0,none,2,1,0,1,open_what_if
49,1284,1,2,0,none,2,0,0,1,open_what_if
50,1286,0,0,0,none,1,0,0,0,clarify
51,1292,2,0,0,none,1,0,1,1,open_what_if
52,1293,1,2,0,none,2,0,1,1,open_what_if
53,1294,1,2,0,none,2,0,1,1,open_what_if
54,1296,0,2,2,constructive,2,0,0,0,criteria_setting
55,1297,2,0,0,none,2,0,0,2,none
56,1299,1,2,0,none,2,1,0,1,open_what_if
57,1302,2,1,0,none,2,0,1,1,open_what_if
58,1306,2,1,0,none,2,0,1,1,open_what_if
59,1307,0,0,0,none,2,0,0,2,none
60,1309,2,0,0,none,1,0,1,1,open_what_if
61,1311,0,0,0,none,1,0,0,0,clarify
62,1313,1,0,0,none,2,0,0,2,none
63,1320,1,2,0,none,2,1,0,2,open_what_if
64,1321,0,0,0,none,2,0,0,2,none
65,1322,2,2,0,none,2,0,0,1,open_what_if
66,1324,2,2,0,none,2,0,1,1,open_what_if
67,1325,0,1,1,constructive,2,0,0,2,none
68,1327,1,2,0,none,2,1,0,3,none
69,1331,1,1,0,none,2,0,0,2,open_what_if
70,1333,2,1,0,none,2,0,0,2,open_what_if
71,1335,0,0,0,none,1,0,0,0,clarify
72,1339,1,0,0,none,2,0,0,2,none
73,1344,0,0,0,none,2,0,0,1,none
74,1347,1,0,0,none,2,0,0,2,none
75,1349,1,2,0,none,2,1,0,2,none
76,1353,1,1,0,none,2,1,0,0,none
77,1358,2,1,0,none,2,0,1,1,open_what_if
78,1359,0,1,0,none,2,0,0,0,clarify
79,1362,1,1,0,none,2,1,0,2,none
80,1363,0,0,0,none,2,0,0,1,none
81,1370,2,1,0,none,2,0,0,2,open_what_if
82,1371,0,1,0,none,3,1,0,0,none
83,1372,2,1,0,none,2,0,0,2,open_what_if
84,1374,1,2,1,constructive,2,0,0,1,open_what_if
85,1375,1,0,0,none,2,0,0,2,none
