behavioral,subjective,n,rho,p
a_prop,creativity,97,0.256849821429782,0.01109657873503167
a_con,ownership,97,-0.18821410324905805,0.06486317606983057
a_com,ownership,97,-0.18217757627335565,0.0741059834337243
u_con,creativity,97,0.16900024242424863,0.09796348020027157
u_ref,creativity,97,0.16883276953457815,0.09830155476042743
a_exp,ownership,97,0.13417249615352742,0.19011188239540008
drift_trajectory,ownership,97,-0.13106742420253004,0.20066534765450197
a_com,creativity,97,0.12806986818878965,0.211246368105249
a_cer,ownership,97,-0.12702749187918938,0.21501724153704554
a_ref,ownership,97,0.11600281705962663,0.2578408516074767
a_cri,creativity,97,0.1113761705464388,0.27743869345622557
u_ref,ownership,97,0.10774265791256482,0.293512518409958
a_prop,ownership,97,-0.10402992671954431,0.3105597304144789
a_exp,creativity,97,-0.10110003403625971,0.32445750812804464
fixation_index,ownership,97,-0.09942240059870948,0.3325919010422836
a_ref,creativity,97,-0.09937171381486062,0.332839667534148
u_exp,creativity,97,0.08456041145240567,0.4102217886611035
sbert_breadth,ownership,97,0.07060866840827147,0.49192009067316766
sbert_distinctiveness,ownership,97,0.06741011042003978,0.5117902171210357
a_cer,creativity,97,-0.06195157134689438,0.5466271856755354
a_con,creativity,97,0.05342385180487485,0.6032627205938307
u_exp,ownership,97,0.0486461272322922,0.6360861262254637
sbert_breadth,creativity,97,-0.04825228897185123,0.638824655934613
sbert_distinctiveness,creativity,97,0.04332858601553988,0.6734608225328683
u_con,ownership,97,0.036018834631569546,0.7261441161085237
u_cer,creativity,97,-0.0300580342380531,0.7700835402699384
drift_trajectory,creativity,97,-0.02971638954312537,0.7726256051269602
a_cri,ownership,97,0.028660147986410176,0.780499837343181
u_cer,ownership,97,-0.01629328077512601,0.8741412805215639
fixation_index,creativity,97,-0.005452917287669985,0.9577245935361954
