user,n_ideas__GPT,n_ideas__Persona,orig_all__GPT,orig_all__Persona,orig_cross__GPT,orig_cross__Persona,orig_same__GPT,orig_same__Persona,family,d_n_ideas,d_orig_same,d_orig_all,d_orig_cross,Extraversion,Agreeableness,Conscientiousness,Negative Emotionality,Open-Mindedness,cr_diff,ow_diff
24,4.0,4.0,0.2358276396989822,0.2309339493513107,0.0688194036483764,0.1022747755050659,0.220331460237503,0.2018247544765472,Convergent,0.0,-0.018506705760955783,-0.004893690347671509,0.03345537185668951,4.67,3.67,4.67,2.0,4.67,1.0,0.0
25,4.0,7.0,0.2408136576414108,0.2366713136434555,0.1041656732559204,0.0628747940063476,0.2356735169887542,0.2106310874223709,Convergent,3.0,-0.02504242956638328,-0.0041423439979552945,-0.041290879249572796,2.33,4.33,3.67,2.0,4.67,1.0,-1.0
27,4.0,5.0,0.2365899384021759,0.2354745268821716,0.0767061114311218,0.1143838167190551,0.2224556058645248,0.21424600481987,Convergent,1.0,-0.008209601044654818,-0.0011154115200043002,0.03767770528793331,3.0,2.67,4.67,4.0,4.67,1.0,-1.0
28,4.0,6.0,0.2807495296001434,0.2347585409879684,0.1008220314979553,0.0799168348312377,0.264595478773117,0.204480841755867,Convergent,2.0,-0.060114637017250006,-0.04599098861217499,-0.0209051966667176,2.0,4.0,2.33,4.67,3.67,2.0,1.0
29,6.0,5.0,0.2601359486579895,0.2512568235397339,0.0790177583694458,0.1131409406661987,0.2438465356826782,0.2272375077009201,Convergent,-1.0,-0.01660902798175809,-0.008879125118255615,0.0341231822967529,3.0,3.67,3.67,1.67,3.67,1.0,1.0
30,7.0,6.0,0.2129724323749542,0.2295022308826446,0.0521609783172607,0.0887902975082397,0.2006302922964096,0.2031733691692352,Convergent,-1.0,0.002543076872825595,0.016529798507690402,0.036629319190979004,3.33,4.67,3.0,4.0,5.0,0.0,1.0
31,5.0,8.0,0.2453669607639312,0.2168526947498321,0.09177827835083,0.0952681303024292,0.2341032177209854,0.2001860588788986,Convergent,3.0,-0.03391715884208682,-0.028514266014099093,0.0034898519515992044,3.67,4.0,3.33,1.67,4.67,1.0,-2.0
32,4.0,1.0,0.2603391110897064,0.3041437864303589,0.0782787203788757,0.1310611367225647,0.2474391609430313,0.2768327593803406,Convergent,-3.0,0.029393598437309265,0.043804675340652466,0.05278241634368899,3.0,4.33,3.0,2.67,4.67,4.0,-4.0
33,3.0,3.0,0.277812123298645,0.2473571300506591,0.1397980451583862,0.0896664261817932,0.2658125460147857,0.2212549746036529,Convergent,0.0,-0.04455757141113281,-0.030454993247985923,-0.050131618976593004,4.33,5.0,4.0,2.0,4.0,1.0,-1.0
34,3.0,1.0,0.2393293231725692,0.2442298680543899,0.0801014304161071,0.1310065388679504,0.2661878764629364,0.2491844594478607,Divergent,-2.0,-0.01700341701507571,0.0049005448818207065,0.05090510845184332,2.67,4.33,3.0,4.33,5.0,1.0,-2.0
35,1.0,5.0,0.3200021386146545,0.2198661863803863,0.1525093913078308,0.0702857375144958,0.3373802602291107,0.2336525917053222,Divergent,4.0,-0.10372766852378851,-0.10013595223426819,-0.08222365379333502,2.67,2.33,2.67,3.67,4.0,0.0,2.0
36,2.0,3.0,0.2664606869220733,0.2389049977064132,0.1043915152549743,0.0891810059547424,0.2947880029678345,0.2473914921283722,Divergent,1.0,-0.04739651083946228,-0.027555689215660095,-0.015210509300231892,4.67,4.67,3.33,3.33,4.67,-2.0,0.0
37,3.0,3.0,0.2632976174354553,0.2265131026506424,0.1089100241661071,0.0877419710159301,0.2838644683361053,0.2390439361333847,Divergent,0.0,-0.04482053220272059,-0.03678451478481293,-0.021168053150176988,3.67,4.33,4.0,2.0,4.33,1.0,2.0
