conversation_id,user,condition,persona_label,challenge,n_ideas,centroid_index,orig_same,orig_all,orig_cross
154,24,GPT,GPT,Bicycle,4,0,0.22033146023750305,0.23582763969898224,0.06881940364837646
155,25,GPT,GPT,Bicycle,4,1,0.23567351698875427,0.24081365764141083,0.10416567325592041
157,27,GPT,GPT,Bicycle,4,2,0.22245560586452484,0.2365899384021759,0.07670611143112183
158,28,GPT,GPT,Bicycle,4,3,0.26459547877311707,0.28074952960014343,0.10082203149795532
159,29,GPT,GPT,Bicycle,6,4,0.24384653568267822,0.2601359486579895,0.0790177583694458
160,30,GPT,GPT,Bicycle,7,5,0.2006302922964096,0.21297243237495422,0.05216097831726074
161,31,GPT,GPT,Bicycle,5,6,0.2341032177209854,0.24536696076393127,0.09177827835083008
162,32,GPT,GPT,Bicycle,4,7,0.2474391609430313,0.2603391110897064,0.07827872037887573
164,33,GPT,GPT,Bicycle,3,8,0.26581254601478577,0.277812123298645,0.13979804515838623
166,33,Persona,Convergent,Library,3,9,0.22125497460365295,0.24735713005065918,0.08966642618179321
167,29,Persona,Convergent,Library,5,10,0.2272375077009201,0.2512568235397339,0.11314094066619873
168,28,Persona,Convergent,Library,6,11,0.204480841755867,0.23475854098796844,0.07991683483123779
169,25,Persona,Convergent,Library,7,12,0.2106310874223709,0.2366713136434555,0.06287479400634766
170,32,Persona,Convergent,Library,1,13,0.2768327593803406,0.3041437864303589,0.1310611367225647
171,24,Persona,Convergent,Library,4,14,0.20182475447654724,0.23093394935131073,0.10227477550506592
172,27,Persona,Convergent,Library,5,15,0.21424600481987,0.23547452688217163,0.11438381671905518
175,31,Persona,Convergent,Library,8,16,0.20018605887889862,0.21685269474983215,0.0952681303024292
176,30,Persona,Convergent,Library,6,17,0.20317336916923523,0.22950223088264465,0.08879029750823975
180,34,GPT,GPT,Library,3,18,0.2661878764629364,0.23932932317256927,0.08010143041610718
182,35,GPT,GPT,Library,1,19,0.3373802602291107,0.32000213861465454,0.1525093913078308
183,36,GPT,GPT,Library,2,20,0.2947880029678345,0.26646068692207336,0.10439151525497437
184,37,GPT,GPT,Library,3,21,0.28386446833610535,0.2632976174354553,0.10891002416610718
188,36,Persona,Divergent,Bicycle,3,22,0.2473914921283722,0.23890499770641327,0.08918100595474243
189,34,Persona,Divergent,Bicycle,1,23,0.24918445944786072,0.24422986805438995,0.13100653886795044
190,35,Persona,Divergent,Bicycle,5,24,0.23365259170532227,0.21986618638038635,0.07028573751449585
192,37,Persona,Divergent,Bicycle,3,25,0.2390439361333847,0.2265131026506424,0.08774197101593018
194,39,Persona,BoundedRational,Bicycle,4,26,0.23440685868263245,0.21802310645580292,0.05430150032043457
195,40,Persona,BoundedRational,Bicycle,5,27,0.2155984789133072,0.21117736399173737,0.09294730424880981
196,41,Persona,BoundedRational,Bicycle,4,28,0.2334965169429779,0.22416993975639343,0.06100279092788696
199,43,Persona,BoundedRational,Bicycle,8,29,0.23811674118041992,0.21985986828804016,0.04374903440475464
200,44,Persona,BoundedRational,Bicycle,8,30,0.22605867683887482,0.20717470347881317,0.04813683032989502
201,45,Persona,BoundedRational,Bicycle,8,31,0.20271050930023193,0.19051708281040192,0.04911947250366211
202,46,Persona,BoundedRational,Bicycle,6,32,0.2223358154296875,0.2055039256811142,0.05168008804321289
203,47,Persona,BoundedRational,Bicycle,2,33,0.297903448343277,0.27941080927848816,0.12336677312850952
204,42,Persona,BoundedRational,Bicycle,4,34,0.22188800573349,0.21373523771762848,0.08701139688491821
205,46,GPT,GPT,Library,1,35,0.31918057799339294,0.29688596725463867,0.14585602283477783
