model,side,cell,construct,mean_persona,mean_gpt,dz,n
enriched,assistant,pooled,exp,1.2126587954234989,0.4460470109388177,1.2906008619372427,97
enriched,assistant,pooled,con,1.2693546905432287,1.3296878990286156,-0.16963133300679487,97
enriched,assistant,pooled,cri,0.08669725482265171,0.06147645121887898,0.20327504908516753,97
enriched,assistant,pooled,cer,1.98067779140318,2.2552983125567696,-1.4472006887645816,97
enriched,assistant,pooled,com,0.16181522661850478,0.4965437082011604,-2.2503092655478145,97
enriched,assistant,pooled,ref,0.5157853635177015,0.07782886376203699,0.9089177545530699,97
enriched,assistant,pooled,prop,1.0904105140499654,1.6047767518386873,-1.3532684707152283,97
enriched,assistant,Divergent,exp,1.8062079262431139,0.413192004077216,4.72110730900637,38
enriched,assistant,Divergent,con,0.993628668113562,1.3098589514418444,-1.341217305339094,38
enriched,assistant,Divergent,cri,0.06149350104629475,0.052559787846774196,0.12092362338086779,38
enriched,assistant,Divergent,cer,1.931404806316114,2.30207476377716,-2.9941642145463954,38
enriched,assistant,Divergent,com,0.13377916427221764,0.5355455850699699,-4.704460579139157,38
enriched,assistant,Divergent,ref,1.0471035249714544,0.06093238047552096,3.798135983913229,38
enriched,assistant,Divergent,prop,1.1479137492116556,1.7141469239284408,-1.6812929728510466,38
enriched,assistant,Convergent,exp,0.7659479887647601,0.5039788096505607,0.8874620162819488,41
enriched,assistant,Convergent,con,1.4197858051196808,1.3257416968000453,0.3162508464722312,41
enriched,assistant,Convergent,cri,0.0670323421613327,0.07114946106837824,-0.04694003902539703,41
enriched,assistant,Convergent,cer,2.0187529159283755,2.203682073747306,-0.8376308144520785,41
enriched,assistant,Convergent,com,0.1926113601055308,0.4471184220653437,-1.4831876119303995,41
enriched,assistant,Convergent,ref,0.16383831705860702,0.10302817699128705,0.44836377435157626,41
enriched,assistant,Convergent,prop,1.0655230111548342,1.4694610935273174,-1.0629901881379893,41
enriched,assistant,Rational,exp,0.7837094250475852,0.3703252737406167,2.686085040018536,9
enriched,assistant,Rational,con,1.7043061217120514,1.306688788547001,1.1987133811545105,9
enriched,assistant,Rational,cri,0.28877521841274634,0.04323316129576951,1.0595185810968482,9
enriched,assistant,Rational,cer,2.0711824121784934,2.348027668224011,-1.6793287608537435,9
enriched,assistant,Rational,com,0.11706793645993264,0.5032802708840345,-2.922184213087388,9
enriched,assistant,Rational,ref,0.15030674384494402,0.04498863210765122,1.0554137274270006,9
enriched,assistant,Rational,prop,0.8686213167961427,1.8628171877761293,-3.2460057971607594,9
