family,quarter,mean,sem,count,construct,arm
BoundedRational,Q1,0.05706491296458515,0.035745739270918175,22,exp,Persona
BoundedRational,Q2,0.7136647947897242,0.11135827168526928,20,exp,Persona
BoundedRational,Q3,0.5878041494523046,0.11432754246941548,17,exp,Persona
BoundedRational,Q4,0.42133871620171603,0.079838028795365,20,exp,Persona
Convergent,Q1,0.11520688097677302,0.020630134335203807,109,exp,Persona
Convergent,Q2,0.35741269437383766,0.02843045669420294,91,exp,Persona
Convergent,Q3,0.43317053119051746,0.036545917804881256,85,exp,Persona
Convergent,Q4,0.3296811860357177,0.029425325454850833,91,exp,Persona
Divergent,Q1,0.10174844653733156,0.02342387899104067,93,exp,Persona
Divergent,Q2,0.5948395546522097,0.05162109315584649,65,exp,Persona
Divergent,Q3,0.6019972866728603,0.0547146187014871,70,exp,Persona
Divergent,Q4,0.5224319389716122,0.05608105831433386,65,exp,Persona
Rational,Q1,0.06956757998353545,0.027846856451516945,22,exp,Persona
Rational,Q2,0.4661293541258008,0.11373225621149535,20,exp,Persona
Rational,Q3,0.4495376316802806,0.07465579125252986,18,exp,Persona
Rational,Q4,0.28263128790503156,0.0635121976972384,20,exp,Persona
GPT,Q1,0.11939044612166011,0.013946348965030133,261,exp,GPT
GPT,Q2,0.3627885621830315,0.02001613462928747,205,exp,GPT
GPT,Q3,0.34252597403192625,0.016682924222743607,207,exp,GPT
GPT,Q4,0.3350002639921937,0.0182912477290713,205,exp,GPT
BoundedRational,Q1,0.4293958795857991,0.10224131164272306,22,con,Persona
BoundedRational,Q2,0.46490661730078237,0.10350833841846571,20,con,Persona
BoundedRational,Q3,0.42698050224925055,0.09446656289207125,17,con,Persona
BoundedRational,Q4,0.5926826415644165,0.11161093188653333,20,con,Persona
Convergent,Q1,0.4594650300950088,0.04372501483858082,109,con,Persona
Convergent,Q2,0.5426360894758143,0.04024408621015489,91,con,Persona
Convergent,Q3,0.5516303275808011,0.03932829672026032,85,con,Persona
Convergent,Q4,0.4732962782126996,0.04029249249283392,91,con,Persona
Divergent,Q1,0.5003942049339257,0.0489878157958269,93,con,Persona
Divergent,Q2,0.6549116788221846,0.03865118578212529,65,con,Persona
