conversation_id,participant_id,condition_original,persona_family_original,round,challenge,n_episodes,exploration_opening_mean,reframing_quality_mean,evaluative_discipline_mean,agency_preservation_mean,anchor_management_mean,coregulation_uptake_mean,timing_fit_mean,implementation_grounding_mean,cognitive_load_clarity_mean,stance_integrity_mean,premature_convergence_risk_mean,runaway_divergence_risk_mean,user_agency_proxy_mean,exploration_opening_early,exploration_opening_mid,exploration_opening_late,reframing_quality_early,reframing_quality_mid,reframing_quality_late,evaluative_discipline_early,evaluative_discipline_mid,evaluative_discipline_late,regulation_balance_index,trajectory_type
154,24,GPT,GPT,1,Bicycle,6,2.0,1.0,0.5,3.0,1.5,3.0,3.5,1.0,3.0,3.5,0.5,0.5,3.0,,,2.0,,,1.0,,,0.5,-5.954480620010305,mixed_or_unclear
155,25,GPT,GPT,1,Bicycle,4,3.0,2.0,1.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,0.0,0.0,3.5,,3.0,,,2.0,,,1.0,,2.692021951760869,user_led_elaboration
157,27,GPT,GPT,1,Bicycle,5,3.0,2.0,3.0,3.5,2.5,3.5,4.0,3.0,4.0,4.0,0.0,0.0,3.5,,3.0,,,2.0,,,3.0,,3.8459603674848886,user_led_elaboration
158,28,GPT,GPT,1,Bicycle,4,,,,,,,,,,,,,,,,,,,,,,,,mixed_or_unclear
159,29,GPT,GPT,1,Bicycle,4,,,,,,,,,,,,,,,,,,,,,,,,mixed_or_unclear
160,30,GPT,GPT,1,Bicycle,5,3.0,3.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,0.0,0.0,3.5,,3.0,,,3.0,,,2.0,,5.001532697127745,user_led_elaboration
161,31,GPT,GPT,1,Bicycle,6,2.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,3.0,4.0,0.0,0.0,2.5,2.0,,,1.0,,,1.0,,,-4.426236921914728,mixed_or_unclear
162,32,GPT,GPT,1,Bicycle,4,,,,,,,,,,,,,,,,,,,,,,,,mixed_or_unclear
164,33,GPT,GPT,1,Bicycle,3,,,,,,,,,,,,,,,,,,,,,,,,mixed_or_unclear
166,33,Persona,Convergent,2,Library,3,,,,,,,,,,,,,,,,,,,,,,,,mixed_or_unclear
167,29,Persona,Convergent,2,Library,4,3.5,3.0,3.0,3.5,3.0,3.5,4.0,3.25,4.0,4.0,0.0,0.0,3.5,,3.0,4.0,,3.0,3.0,,3.0,3.0,5.730127893720766,user_led_elaboration
168,28,Persona,Convergent,2,Library,3,,,,,,,,,,,,,,,,,,,,,,,,mixed_or_unclear
169,25,Persona,Convergent,2,Library,4,3.25,2.5,1.75,3.5,2.5,3.5,4.0,2.0,3.5,4.0,0.0,0.0,3.5,3.0,3.5,,2.0,3.0,,1.0,2.5,,3.380792003538602,user_led_elaboration
170,32,Persona,Convergent,2,Library,4,3.0,3.0,2.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,0.0,0.0,4.0,,,3.0,,,3.0,,,2.0,5.001532697127745,user_led_elaboration
171,24,Persona,Convergent,2,Library,7,3.0,2.25,1.75,3.5,3.0,3.5,4.0,2.25,3.25,4.0,0.5,0.0,3.5,3.0,3.0,,2.0,2.5,,2.0,1.5,,1.614474843137407,user_led_elaboration
172,27,Persona,Convergent,2,Library,5,,,,,,,,,,,,,,,,,,,,,,,,mixed_or_unclear
175,31,Persona,Convergent,2,Library,5,3.5,2.5,3.0,3.0,2.5,3.0,4.0,3.0,3.5,4.0,0.5,0.5,3.0,,4.0,3.0,,3.0,2.0,,3.0,3.0,1.9061140921334658,critique_to_commitment
176,30,Persona,Convergent,2,Library,3,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,1.0,1.0,3.0,,3.0,,,3.0,,,2.0,,-3.801088752093212,reframe_and_expand
180,34,GPT,GPT,1,Library,4,2.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,1.0,0.0,3.0,,,2.0,,,1.0,,,1.0,-6.666558238338986,mixed_or_unclear
182,35,GPT,GPT,1,Library,4,,,,,,,,,,,,,,,,,,,,,,,,mixed_or_unclear
183,36,GPT,GPT,1,Library,2,,,,,,,,,,,,,,,,,,,,,,,,mixed_or_unclear
184,37,GPT,GPT,1,Library,6,2.5,2.0,1.0,2.5,2.0,2.75,3.5,0.75,3.25,3.75,0.25,0.0,2.625,,2.5,,,2.0,,,1.0,,-3.0306632674827303,mixed_or_unclear
185,38,GPT,GPT,1,Library,2,,,,,,,,,,,,,,,,,,,,,,,,mixed_or_unclear
187,38,Persona,Divergent,2,Bicycle,4,,,,,,,,,,,,,,,,,,,,,,,,mixed_or_unclear
188,36,Persona,Divergent,2,Bicycle,3,,,,,,,,,,,,,,,,,,,,,,,,mixed_or_unclear
189,34,Persona,Divergent,2,Bicycle,5,4.0,3.0,0.0,4.0,3.0,3.0,4.0,1.0,4.0,4.0,0.0,0.0,3.5,4.0,,,3.0,,,0.0,,,4.150846258865751,user_led_elaboration
190,35,Persona,Divergent,2,Bicycle,4,4.0,3.0,1.5,4.0,3.0,3.0,4.0,1.0,3.5,4.0,0.0,0.0,3.5,4.0,,,3.0,,,1.5,,,5.839548811342821,user_led_elaboration
192,37,Persona,Divergent,2,Bicycle,5,,,,,,,,,,,,,,,,,,,,,,,,mixed_or_unclear
194,39,Persona,BoundedRational,1,Bicycle,6,,,,,,,,,,,,,,,,,,,,,,,,mixed_or_unclear
195,40,Persona,BoundedRational,1,Bicycle,4,3.5,2.5,0.5,3.5,2.5,3.0,3.5,1.0,3.5,4.0,0.5,0.5,3.25,4.0,,3.0,3.0,,2.0,0.0,,1.0,-0.9798766192971688,user_led_elaboration
196,41,Persona,BoundedRational,1,Bicycle,3,4.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,0.0,0.0,3.5,,4.0,,,3.0,,,2.0,,6.402449662168512,user_led_elaboration
199,43,Persona,BoundedRational,1,Bicycle,7,2.75,2.25,2.0,3.5,2.75,3.25,3.75,3.0,3.5,3.75,0.25,0.0,3.375,3.0,2.5,3.0,3.0,2.0,2.0,2.0,1.5,3.0,1.5212006339556625,user_led_elaboration
200,44,Persona,BoundedRational,1,Bicycle,7,3.25,2.5,1.0,3.5,2.25,2.75,3.75,0.75,3.25,3.75,0.0,0.25,3.125,3.0,,4.0,2.3333333333333335,,3.0,0.6666666666666666,,2.0,1.4446981878902625,mixed_or_unclear
201,45,Persona,BoundedRational,1,Bicycle,7,2.625,1.625,0.375,3.25,2.375,3.0,3.375,1.25,3.375,3.375,0.75,0.375,3.125,4.0,2.0,2.25,3.0,1.0,1.25,0.0,0.0,0.75,-4.529766865296317,mixed_or_unclear
202,46,Persona,BoundedRational,1,Bicycle,4,3.0,2.0,1.0,3.5,2.0,3.0,3.5,1.0,3.0,3.5,0.5,0.5,3.25,3.0,,,2.0,,,1.0,,,-1.7092887728496098,user_led_elaboration
203,47,Persona,BoundedRational,1,Bicycle,4,3.5,3.0,2.0,3.5,3.0,3.5,4.0,3.0,3.5,4.0,0.5,0.0,3.5,3.5,,,3.0,,,2.0,,,3.4841655338572575,user_led_elaboration
204,42,Persona,BoundedRational,1,Bicycle,5,2.8333333333333335,2.3333333333333335,2.0,3.1666666666666665,2.1666666666666665,3.1666666666666665,3.8333333333333335,2.6666666666666665,3.5,4.0,0.3333333333333333,0.0,3.1666666666666665,2.5,3.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0129746074109893,mixed_or_unclear
205,46,GPT,GPT,2,Library,5,,,,,,,,,,,,,,,,,,,,,,,,mixed_or_unclear
206,42,GPT,GPT,2,Library,5,,,,,,,,,,,,,,,,,,,,,,,,mixed_or_unclear
208,44,GPT,GPT,2,Library,6,,,,,,,,,,,,,,,,,,,,,,,,mixed_or_unclear
209,40,GPT,GPT,2,Library,7,2.0,1.0,0.0,3.0,2.0,3.0,3.0,1.0,3.0,4.0,1.0,0.0,3.0,,,2.0,,,1.0,,,0.0,-7.792359939990368,mixed_or_unclear
210,45,GPT,GPT,2,Library,8,2.0,1.0,0.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0,1.0,0.0,2.5,,,2.0,,,1.0,,,0.0,-7.792359939990368,mixed_or_unclear
211,41,GPT,GPT,2,Library,4,,,,,,,,,,,,,,,,,,,,,,,,mixed_or_unclear
212,43,GPT,GPT,2,Library,5,,,,,,,,,,,,,,,,,,,,,,,,mixed_or_unclear
213,47,GPT,GPT,2,Library,4,,,,,,,,,,,,,,,,,,,,,,,,mixed_or_unclear
214,39,GPT,GPT,2,Library,8,,,,,,,,,,,,,,,,,,,,,,,,mixed_or_unclear
216,48,Persona,Rational,1,Library,4,2.5,2.0,2.0,3.5,2.5,3.0,3.5,2.0,3.0,3.5,0.5,1.0,3.25,2.0,3.0,,1.0,3.0,,2.0,2.0,,-2.298279187657296,user_led_elaboration
217,49,Persona,Rational,1,Library,4,2.6666666666666665,2.1666666666666665,2.8333333333333335,3.1666666666666665,2.6666666666666665,3.1666666666666665,3.6666666666666665,2.5,3.6666666666666665,4.0,0.6666666666666666,0.0,3.1666666666666665,4.0,2.0,2.0,3.5,2.0,1.0,3.5,3.0,2.0,0.3838807702260344,mixed_or_unclear
218,50,Persona,Rational,1,Library,3,3.0,2.5,2.5,3.0,2.5,3.5,4.0,3.0,4.0,4.0,0.5,0.0,3.25,,3.0,,,2.5,,,2.5,,1.6570883927260742,mixed_or_unclear
219,51,Persona,Rational,1,Library,7,3.3333333333333335,2.6666666666666665,2.6666666666666665,3.3333333333333335,2.6666666666666665,3.3333333333333335,3.6666666666666665,2.6666666666666665,3.6666666666666665,3.6666666666666665,0.3333333333333333,0.3333333333333333,3.3333333333333335,4.0,3.0,,3.0,2.5,,3.0,2.5,,2.1584859972109425,mixed_or_unclear
220,52,Persona,Rational,1,Library,5,3.0,3.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,0.0,0.0,3.5,,3.0,,,3.0,,,2.0,,5.001532697127745,user_led_elaboration
221,53,Persona,Rational,1,Library,7,3.375,3.0,2.0,3.75,2.875,3.0,4.0,2.0,3.125,4.0,0.25,0.5,3.375,3.3333333333333335,,3.5,3.0,,3.0,2.0,,2.0,3.4036301021839144,user_led_elaboration
222,54,Persona,Rational,1,Library,2,3.5,3.0,2.5,4.0,3.0,3.0,4.0,2.0,3.5,4.0,0.0,0.0,3.5,4.0,3.0,,3.0,3.0,,2.0,3.0,,6.264892030473819,user_led_elaboration
223,55,Persona,Rational,1,Library,3,3.0,2.0,1.0,3.0,2.0,3.0,4.0,1.0,3.0,4.0,0.0,1.0,3.0,3.0,,,2.0,,,1.0,,,-1.5319752912739815,mixed_or_unclear
224,56,Persona,Rational,1,Library,9,3.6666666666666665,3.0,1.6666666666666667,3.6666666666666665,3.0,3.0,4.0,1.6666666666666667,3.6666666666666665,4.0,0.0,0.0,3.333333333333333,4.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,0.0,4.828433448218634,user_led_elaboration
226,53,GPT,GPT,2,Bicycle,4,,,,,,,,,,,,,,,,,,,,,,,,mixed_or_unclear
