model,criterion,n_p,n_c,mean_p,mean_c,diff,t,p,cohen_d,hedges_g,q_fdr,family,n_fam,n_gpt,mean_fam,mean_gpt
I1_condition_effect_episode,exploration_opening,119.0,31.0,3.357142857142857,2.306451612903226,1.0506912442396312,9.216914463715678,4.3068913516236766e-13,1.58653516961432,1.5784816915959732,5.168269621948412e-12,,,,,
I1_condition_effect_episode,reframing_quality,119.0,31.0,2.6470588235294117,1.3709677419354838,1.276091081593928,7.498159751347866,3.3440116627324235e-09,1.7075126642107255,1.6988450872350365,2.006406997639454e-08,,,,,
I1_condition_effect_episode,evaluative_discipline,119.0,31.0,1.7563025210084033,0.9516129032258065,0.8046896177825968,4.342913639774318,7.364157085510197e-05,0.8682985336006226,0.8638909268310763,0.0001767397700522447,,,,,
I1_condition_effect_episode,agency_preservation,119.0,31.0,3.411764705882353,2.9838709677419355,0.4278937381404173,3.3634618773340006,0.0017493594903576807,0.817313288259529,0.8131644898419679,0.0029989019834703095,,,,,
I1_condition_effect_episode,anchor_management,119.0,31.0,2.676470588235294,1.8548387096774193,0.8216318785578747,6.082316311158995,4.4952833854463613e-07,1.5174306451014776,1.509727951471521,1.7981133541785445e-06,,,,,
I1_condition_effect_episode,coregulation_uptake,119.0,31.0,3.1092436974789917,2.629032258064516,0.48021143941447564,3.418646578724198,0.001689611034850249,1.0567210882880942,1.0513570218500836,0.0029989019834703095,,,,,
I1_condition_effect_episode,timing_fit,119.0,31.0,3.8445378151260505,3.3225806451612905,0.52195716996476,4.743738850364962,3.2890268738876054e-05,1.2662304808934597,1.2598029150005994,9.867080621662817e-05,,,,,
I1_condition_effect_episode,implementation_grounding,119.0,31.0,1.9915966386554622,1.8387096774193548,0.15288696123610745,0.8018886211668428,0.4263635692026816,0.15279142160736084,0.15201583063473464,0.46512389367565266,,,,,
I1_condition_effect_episode,cognitive_load_clarity,119.0,31.0,3.403361344537815,3.193548387096774,0.209812957441041,2.01633112157712,0.04999895342664568,0.4347064948825891,0.4324998629288704,0.05999874411197482,,,,,
I1_condition_effect_episode,stance_integrity,119.0,31.0,3.9201680672268906,3.661290322580645,0.2588777446462456,3.0373379141060863,0.004446873940722556,0.8218384464378315,0.8176666776741878,0.006670310911083834,,,,,
I1_condition_effect_episode,premature_convergence_risk,119.0,31.0,0.3445378151260504,0.6451612903225806,-0.3006234751965302,-2.92206048055158,0.005480004044593556,-0.6229146536488904,-0.6197526503308758,0.007306672059458075,,,,,
I1_condition_effect_episode,runaway_divergence_risk,119.0,31.0,0.36554621848739494,0.3387096774193548,0.02683654106804012,0.2010446774010791,0.8417359362363096,0.04976336310271969,0.04951075719864497,0.8417359362363096,,,,,
I7_family_vs_gpt,exploration_opening,,,,,,12.754100836817763,1.332243285647268e-18,,3.05586008042489,,Divergent,42.0,31.0,3.8095238095238093,2.306451612903226
I7_family_vs_gpt,exploration_opening,,,,,,5.995609805425368,9.897470338880246e-08,,1.4397492340659734,,Convergent,36.0,31.0,3.125,2.306451612903226
