criterion,n,mean_A,mean_C,mean_abs_d,pct_d_ge2,kappa_qw,spearman_r,spearman_p
agency_preservation,39,3.230769230769231,2.8974358974358974,0.48717948717948717,0.07692307692307693,0.1333333333333333,0.21162346383429292,0.19590901513867898
anchor_management,39,2.3846153846153846,1.4102564102564104,1.0769230769230769,0.20512820512820512,0.3533447684391082,0.6529474441164659,6.625367770069358e-06
cognitive_load_clarity,39,3.3076923076923075,2.8974358974358974,0.46153846153846156,0.02564102564102564,0.1095890410958903,0.1561852182308633,0.34237334992194823
coregulation_uptake,39,3.0256410256410255,2.9743589743589745,0.41025641025641024,0.05128205128205128,0.376,0.4005907071267552,0.011500280390945248
evaluative_discipline,29,1.8620689655172413,0.8620689655172413,1.0689655172413792,0.2413793103448276,0.4070876874148115,0.7163244990415142,1.2417972306989925e-05
exploration_opening,39,3.0256410256410255,2.1025641025641026,0.9230769230769231,0.1794871794871795,0.3572841133816743,0.6363723996405619,1.3336928949557565e-05
implementation_grounding,39,2.230769230769231,1.7179487179487178,0.8205128205128205,0.07692307692307693,0.37783375314861467,0.5357541657176983,0.00043990603759184814
premature_convergence_risk,39,0.48717948717948717,0.8461538461538461,0.5128205128205128,0.05128205128205128,0.39768339768339767,0.5110071055108454,0.0008864534510239593
reframing_quality,39,2.3076923076923075,1.205128205128205,1.1025641025641026,0.2564102564102564,0.3665065202470831,0.6587725020143657,5.128831787984184e-06
runaway_divergence_risk,39,0.358974358974359,0.4358974358974359,0.28205128205128205,0.0,0.47102342786683105,0.4753016454161908,0.0022296921722183023
stance_integrity,39,3.8461538461538463,2.717948717948718,1.1282051282051282,0.1282051282051282,0.16907216494845378,0.5675336463519133,0.0001646424106588745
timing_fit,39,3.6923076923076925,2.769230769230769,0.9230769230769231,0.07692307692307693,0.19941348973607032,0.5571455629037533,0.00022951156563565705
__pooled__,458,2.493449781659389,1.925764192139738,0.759825327510917,0.11135371179039301,0.6879926554861647,0.766778955251796,7.86098278916798e-90
