conversation_id,group,persona_key,persona,originality_1_7,value_1_7,insight_reframing_1_7,development_1_7,integration_1_7,human_ethical_1_7,process_evidence_1_7,holistic_creativity_1_7,token_count
635,experiment group,design_thinking,Design Thinking Expert,3.0,5.0,4.0,3.0,4.0,3.0,6.0,4.0,272
635,experiment group,social_psych,Social Psychology Researcher,4.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,272
635,experiment group,hci,HCI Expert,4.0,6.0,6.0,5.0,6.0,4.0,5.0,5.0,272
635,experiment group,Philosopher,Philosopher/Ethicist,4.0,5.0,6.0,4.0,4.0,4.0,5.0,4.0,272
635,experiment group,innovation,Innovation/Strategy Expert,3.0,5.0,5.0,4.0,5.0,4.0,6.0,5.0,272
937,experiment group,design_thinking,Design Thinking Expert,5.0,5.0,4.0,4.0,5.0,2.0,4.0,4.0,119
937,experiment group,social_psych,Social Psychology Researcher,5.0,5.0,3.0,3.0,5.0,3.0,3.0,3.0,119
937,experiment group,hci,HCI Expert,5.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,119
937,experiment group,Philosopher,Philosopher/Ethicist,5.0,5.0,3.0,3.0,5.0,2.0,4.0,4.0,119
937,experiment group,innovation,Innovation/Strategy Expert,5.0,5.0,3.0,3.0,5.0,3.0,3.0,3.0,119
939,experiment group,design_thinking,Design Thinking Expert,3.0,5.0,1.0,6.0,2.0,2.0,2.0,2.0,38
939,experiment group,social_psych,Social Psychology Researcher,4.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,38
939,experiment group,hci,HCI Expert,3.0,6.0,1.0,4.0,3.0,2.0,3.0,3.0,38
939,experiment group,Philosopher,Philosopher/Ethicist,2.0,5.0,2.0,3.0,1.0,1.0,3.0,2.0,38
939,experiment group,innovation,Innovation/Strategy Expert,3.0,6.0,2.0,5.0,2.0,2.0,4.0,3.0,38
941,experiment group,design_thinking,Design Thinking Expert,3.0,4.0,3.0,2.0,3.0,5.0,3.0,3.0,427
941,experiment group,social_psych,Social Psychology Researcher,3.0,3.0,4.0,3.0,4.0,6.0,4.0,4.0,427
941,experiment group,hci,HCI Expert,3.0,3.0,4.0,2.0,4.0,5.0,4.0,4.0,427
941,experiment group,Philosopher,Philosopher/Ethicist,2.0,3.0,2.0,1.0,3.0,5.0,5.0,3.0,427
941,experiment group,innovation,Innovation/Strategy Expert,3.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,427
943,control group,design_thinking,Design Thinking Expert,3.0,3.0,2.0,3.0,3.0,1.0,5.0,3.0,537
943,control group,social_psych,Social Psychology Researcher,3.0,3.0,3.0,3.0,4.0,3.0,5.0,3.0,537
943,control group,hci,HCI Expert,4.0,5.0,3.0,4.0,5.0,1.0,3.0,4.0,537
943,control group,Philosopher,Philosopher/Ethicist,3.0,3.0,2.0,3.0,3.0,3.0,6.0,3.0,537
943,control group,innovation,Innovation/Strategy Expert,3.0,3.0,3.0,3.0,5.0,3.0,5.0,3.0,537
945,experiment group,design_thinking,Design Thinking Expert,5.0,5.0,5.0,5.0,6.0,3.0,5.0,5.0,416
945,experiment group,social_psych,Social Psychology Researcher,4.0,5.0,4.0,3.0,5.0,2.0,3.0,4.0,416
945,experiment group,hci,HCI Expert,4.0,6.0,4.0,4.0,4.0,3.0,3.0,4.0,416
945,experiment group,Philosopher,Philosopher/Ethicist,6.0,5.0,5.0,6.0,6.0,3.0,5.0,5.0,416
