conversation_id,group,fluency,ideas_per_user_turn,ideas_per_assistant_turn,ideas_per_min,flex_per_idea,orig_same,within_idea_diversity,alex_share,alex_timing,switch_rate,n_user
483,treatment,9.0,0.5625,0.5625,0.2459016393442623,0.1111111111111111,0.2396,0.3299,0.375,0.544,0.8,16.0
485,treatment,10.0,0.29411764705882354,0.29411764705882354,0.23923444976076558,0.2,0.242,0.4624,0.5,0.52,0.6363636363636364,34.0
487,treatment,3.0,0.42857142857142855,0.42857142857142855,0.0037137905422134194,0.6666666666666666,0.2422,0.4474,0.429,0.556,0.8333333333333334,7.0
523,treatment,6.0,0.5454545454545454,0.5454545454545454,0.004968532626697582,0.16666666666666666,0.2405,0.255,0.182,0.35,0.4,11.0
543,treatment,2.0,0.5,0.5,0.36363636363636365,0.5,0.3353,0.2943,0.0,,0.0,4.0
547,treatment,7.0,0.5,0.5,0.46052631578947373,0.14285714285714285,0.267,0.2999,0.214,0.641,0.15384615384615385,14.0
549,control,5.0,0.5,0.5,0.2777777777777778,0.2,0.2622,0.2766,,,,10.0
555,treatment,9.0,1.2857142857142858,1.2857142857142858,0.6293706293706294,0.1111111111111111,0.208,0.3484,1.0,0.5,0.0,7.0
559,treatment,4.0,0.6666666666666666,0.6666666666666666,0.06514657980456026,0.25,0.2509,0.2596,0.167,0.8,0.4,6.0
569,treatment,2.0,0.4,0.4,0.16129032258064516,0.5,0.2851,0.2073,0.4,0.625,0.5,5.0
575,control,4.0,0.4,0.4,0.1895734597156398,0.25,0.2821,0.2696,,,,10.0
583,treatment,1.0,0.25,0.25,1.1111111111111112,1.0,0.375,,0.0,,0.0,4.0
593,treatment,14.0,0.6086956521739131,0.6086956521739131,0.01097608780870247,0.14285714285714285,0.2413,0.3218,0.0,,0.0,23.0
595,treatment,10.0,0.5263157894736842,0.5263157894736842,0.0070591557249752935,0.1,0.213,0.3205,0.579,0.53,0.16666666666666666,19.0
601,treatment,2.0,0.4,0.4,0.10050251256281408,0.5,0.2869,0.3461,0.0,,0.0,5.0
605,control,8.0,0.8,0.8,0.5925925925925926,0.125,0.2175,0.3567,,,,10.0
631,treatment,2.0,0.5,0.5,0.23529411764705882,0.5,0.2672,0.3448,0.25,0.667,0.6666666666666666,4.0
633,treatment,5.0,1.25,1.25,0.625,0.2,0.2926,0.3077,0.5,0.667,1.0,4.0
635,treatment,1.0,0.2,0.2,0.2,1.0,0.3295,,0.4,0.75,0.75,5.0
639,control,6.0,0.8571428571428571,0.8571428571428571,0.11070110701107011,0.16666666666666666,0.2873,0.2923,,,,7.0
647,treatment,2.0,0.5,0.5,0.46511627906976744,0.5,0.2638,0.3883,0.0,,0.0,4.0
661,treatment,7.0,0.3684210526315789,0.3684210526315789,0.4666666666666667,0.14285714285714285,0.1997,0.3512,0.0,,0.0,19.0
665,treatment,1.0,0.25,0.25,0.08849557522123894,1.0,0.3447,,0.5,0.5,0.6666666666666666,4.0
667,treatment,14.0,0.7777777777777778,0.7777777777777778,0.37433155080213903,0.07142857142857142,0.2186,0.3627,0.0,,0.0,18.0
671,treatment,4.0,0.8,0.8,0.015766653527788728,0.25,0.2253,0.4296,0.0,,0.0,5.0
679,treatment,9.0,0.42857142857142855,0.42857142857142855,0.2459016393442623,0.1111111111111111,0.1951,0.3543,0.381,0.475,0.4,21.0
685,control,2.0,0.4,0.4,0.5882352941176471,0.5,0.3052,0.3336,,,,5.0
693,control,5.0,0.29411764705882354,0.29411764705882354,0.45045045045045046,0.4,0.396,0.3641,,,,17.0
695,control,6.0,0.5454545454545454,0.5454545454545454,0.18181818181818182,0.16666666666666666,0.2473,0.3573,,,,11.0
701,control,4.0,0.4444444444444444,0.4444444444444444,0.3125,0.25,0.2837,0.2355,,,,9.0
711,treatment,3.0,0.75,0.75,1.3636363636363635,0.3333333333333333,0.243,0.2868,0.25,1.0,0.3333333333333333,4.0
719,treatment,3.0,0.3,0.3,0.234375,0.3333333333333333,0.2519,0.275,0.7,0.444,0.2222222222222222,10.0
721,treatment,1.0,0.14285714285714285,0.14285714285714285,0.2040816326530612,1.0,0.4619,,0.571,0.75,0.16666666666666666,7.0
727,treatment,2.0,0.4,0.4,0.4,0.5,0.3242,0.218,0.4,0.625,0.5,5.0
731,treatment,4.0,0.25,0.25,0.1639344262295082,0.25,0.2204,0.3311,0.188,0.933,0.06666666666666667,16.0
733,treatment,9.0,0.6923076923076923,0.6923076923076923,0.060646900269541774,0.1111111111111111,0.2658,0.3127,0.692,0.435,0.3333333333333333,13.0
737,treatment,6.0,0.4,0.4,0.13986013986013987,0.16666666666666666,0.2234,0.3046,0.667,0.571,0.2857142857142857,15.0
751,control,8.0,0.5333333333333333,0.5333333333333333,0.14388489208633093,0.125,0.2168,0.3712,,,,15.0
753,treatment,9.0,0.5625,0.5625,0.10600706713780918,0.1111111111111111,0.2245,0.3518,0.0,,0.0,16.0
769,treatment,3.0,0.75,0.75,0.8571428571428571,0.3333333333333333,0.3176,0.3084,0.25,0.333,0.6666666666666666,4.0
