conversation_id,n_user,n_taylor,n_alex,alex_share,alex_timing,switches,used_both,fluency,flexibility,orig_same,orig_all,within_idea_diversity,dist_to_challenge_centroid,resid_same_cond_originality,within_conv_diversity
483,16,10,6,0.375,0.544,12,1,9,1,0.2396,0.2444,0.3299,nan,1.0,0.1921
485,34,17,17,0.5,0.52,21,1,10,2,0.242,0.243,0.4624,0.0167,1.0088,0.1954
487,7,4,3,0.429,0.556,5,1,3,2,0.2422,0.2471,0.4474,0.0363,1.037,0.1733
547,14,11,3,0.214,0.641,2,1,7,1,0.267,0.2634,0.2999,0.019,1.034,0.1839
555,7,0,7,1.0,0.5,0,0,9,1,0.208,0.21,0.3484,0.0624,1.0338,0.1781
559,6,5,1,0.167,0.8,2,1,4,1,0.2509,0.2516,0.2596,0.0283,1.0211,0.2096
569,5,3,2,0.4,0.625,2,1,2,1,0.2851,0.2872,0.2073,0.0285,1.0316,0.1883
583,4,4,0,0.0,,0,0,1,1,0.375,0.3731,nan,0.0528,1.0414,0.1861
595,19,8,11,0.579,0.53,3,1,10,1,0.213,0.2153,0.3205,0.0205,1.0204,0.1834
593,23,23,0,0.0,,0,0,14,2,0.2413,0.2463,0.3218,0.02,1.0125,0.2004
523,11,9,2,0.182,0.35,4,1,6,1,0.2405,0.2475,0.255,0.0187,1.0195,0.1943
601,5,5,0,0.0,,0,0,2,1,0.2869,0.2863,0.3461,0.0209,1.0075,0.192
635,5,3,2,0.4,0.75,3,1,1,1,0.3295,0.3345,nan,0.0421,1.0319,0.2149
633,4,2,2,0.5,0.667,3,1,5,1,0.2926,0.2964,0.3077,0.0775,1.0442,0.0945
631,4,3,1,0.25,0.667,2,1,2,1,0.2672,0.2749,0.3448,0.033,1.0316,0.2224
647,4,4,0,0.0,,0,0,2,1,0.2638,0.2606,0.3883,0.0476,1.0135,0.1414
543,4,4,0,0.0,,0,0,2,1,0.3353,0.3335,0.2943,0.0377,1.0264,0.1986
661,19,19,0,0.0,,0,0,7,1,0.1997,0.2003,0.3512,nan,1.0,0.2054
721,7,3,4,0.571,0.75,1,1,1,1,0.4619,0.4605,nan,0.033,1.0269,0.2087
731,16,13,3,0.188,0.933,1,1,4,1,0.2204,0.2203,0.3311,0.0312,1.0165,0.1928
667,18,18,0,0.0,,0,0,14,1,0.2186,0.2115,0.3627,0.0166,1.0409,0.1954
719,10,3,7,0.7,0.444,2,1,3,1,0.2519,0.249,0.275,0.021,1.0035,0.179
679,21,13,8,0.381,0.475,8,1,9,1,0.1951,0.1968,0.3543,0.0236,1.025,0.1683
737,15,5,10,0.667,0.571,4,1,6,1,0.2234,0.2211,0.3046,0.0132,1.0095,0.203
727,5,3,2,0.4,0.625,2,1,2,1,0.3242,0.3192,0.218,0.1008,1.0498,0.1164
733,13,4,9,0.692,0.435,4,1,9,1,0.2658,0.2627,0.3127,0.0388,1.0227,0.1708
665,4,2,2,0.5,0.5,2,1,1,1,0.3447,0.3455,nan,0.0362,1.0128,0.153
671,5,5,0,0.0,,0,0,4,1,0.2253,0.2253,0.4296,0.0267,1.0194,0.2132
711,4,3,1,0.25,1.0,1,1,3,1,0.243,0.2388,0.2868,0.0262,1.0092,0.1833
753,16,16,0,0.0,,0,0,9,1,0.2245,0.2225,0.3518,0.0136,1.0176,0.2028
769,4,3,1,0.25,0.333,2,1,3,1,0.3176,0.3203,0.3084,nan,1.0,0.1779
