conversation_id,group,n_msgs,n_user,n_assistant,n_user_substantive,msgs_to_Taylor,msgs_to_Alex,ending_persona,first_ts,last_ts,duration_minutes,n_days,multiday,lang,quality_tier,analysable,challenge_id,challenge_confidence
355,treatment,2,1,1,0,0,1,Alex,2025-03-10 01:21:30,2025-03-10 01:21:31,0.0,1,False,en,junk,False,,
479,treatment,2,1,1,0,1,0,Taylor,2025-03-10 00:27:04,2025-03-10 00:27:06,0.0,1,False,en,junk,False,,
483,treatment,32,16,16,16,10,6,Taylor,2025-03-10 01:13:14,2025-03-10 01:49:48,36.6,1,False,he,full,True,ta_south_community,0.95
485,treatment,68,34,34,33,17,17,Alex,2025-03-10 01:21:51,2025-03-10 02:03:37,41.8,1,False,mixed,full,True,other_unclear,1.0
487,treatment,14,7,7,6,4,3,Alex,2025-03-10 23:37:43,2025-03-11 13:05:31,807.8,2,True,en,full,True,joint_rikma_jewish_arab,1.0
501,treatment,6,3,3,3,2,1,Taylor,2025-03-10 23:34:50,2025-03-12 00:33:52,1499.0,2,True,en,short,True,,
515,mixed,8,4,4,4,2,2,Taylor,2025-03-10 23:53:11,2025-03-11 20:28:16,1235.1,2,True,en,mixed,False,,
523,treatment,22,11,11,11,9,2,Taylor,2025-03-12 00:14:48,2025-03-12 20:22:22,1207.6,1,False,en,full,True,joint_rikma_jewish_arab,0.95
533,treatment,4,2,2,2,1,1,Taylor,2025-03-11 22:27:48,2025-03-11 22:28:10,0.4,1,False,en,short,True,,
535,treatment,6,3,3,3,1,2,Alex,2025-03-11 00:24:49,2025-03-11 20:28:05,1203.3,1,False,en,short,True,,
537,treatment,4,2,2,0,1,1,Alex,2025-03-11 13:44:24,2025-03-11 13:44:33,0.1,1,False,he,junk,False,,
539,mixed,6,3,3,3,1,2,Alex,2025-03-11 14:14:45,2025-03-11 14:59:43,45.0,1,False,he,mixed,False,,
543,treatment,8,4,4,4,4,0,Taylor,2025-03-12 14:56:04,2025-03-12 15:01:32,5.5,1,False,he,full,True,natal_trauma_language,0.98
547,treatment,28,14,14,14,11,3,Alex,2025-03-11 14:01:49,2025-03-11 14:17:00,15.2,1,False,he,full,True,natal_trauma_language,0.95
549,control,20,10,10,10,1,9,Alex,2025-03-11 14:12:20,2025-03-11 14:30:19,18.0,1,False,he,full,True,natal_trauma_language,0.9
553,treatment,4,2,2,2,1,1,Alex,2025-03-11 14:29:59,2025-03-11 14:30:17,0.3,1,False,he,short,True,,
555,treatment,14,7,7,7,0,7,Alex,2025-03-11 14:31:42,2025-03-11 14:46:00,14.3,1,False,mixed,full,True,ichilov_rehab_future,0.8
559,treatment,12,6,6,5,5,1,Taylor,2025-03-11 14:41:54,2025-03-11 15:43:20,61.4,1,False,he,full,True,natal_trauma_language,0.95
567,treatment,6,3,3,3,2,1,Taylor,2025-03-11 15:12:20,2025-03-11 15:14:27,2.1,1,False,he,short,True,,
569,treatment,10,5,5,5,3,2,Taylor,2025-03-11 15:23:57,2025-03-11 15:36:23,12.4,1,False,he,full,True,natal_trauma_language,0.95
575,control,20,10,10,9,5,5,Taylor,2025-03-11 17:43:32,2025-03-11 18:04:37,21.1,1,False,he,full,True,polyron_sleep,0.9
581,control,2,1,1,0,1,0,Taylor,2025-03-11 18:19:51,2025-03-11 18:19:52,0.0,1,False,he,junk,False,,
583,treatment,8,4,4,4,4,0,Taylor,2025-03-11 18:21:14,2025-03-11 18:22:10,0.9,1,False,he,full,True,other_unclear,0.1
593,treatment,46,23,23,23,23,0,Taylor,2025-03-11 23:42:56,2025-03-12 20:58:28,1275.5,2,True,mixed,full,True,joint_rikma_jewish_arab,1.0
595,treatment,38,19,19,19,8,11,Taylor,2025-03-11 22:43:32,2025-03-12 22:20:08,1416.6,2,True,en,full,True,joint_rikma_jewish_arab,1.0
601,treatment,10,5,5,5,5,0,Taylor,2025-03-12 00:34:04,2025-03-12 00:54:00,19.9,1,False,mixed,full,True,ichilov_rehab_future,1.0
603,treatment,6,3,3,3,0,3,Alex,2025-03-11 23:52:04,2025-03-11 23:55:04,3.0,1,False,he,short,True,,
605,control,20,10,10,10,10,0,Taylor,2025-03-11 23:50:08,2025-03-12 00:03:40,13.5,2,True,en,full,True,ichilov_rehab_future,0.95
607,treatment,6,3,3,3,3,0,Taylor,2025-03-11 23:52:05,2025-03-11 23:53:53,1.8,1,False,he,short,True,,
609,treatment,4,2,2,2,1,1,Alex,2025-03-12 00:23:21,2025-03-12 00:23:42,0.3,1,False,en,short,True,,
611,treatment,2,1,1,1,1,0,Taylor,2025-03-12 20:20:07,2025-03-12 20:20:09,0.0,1,False,en,minimal,False,,
613,control,2,1,1,1,1,0,Taylor,2025-03-12 00:30:42,2025-03-12 00:30:43,0.0,1,False,en,minimal,False,,
617,treatment,4,2,2,2,2,0,Taylor,2025-03-12 00:32:05,2025-03-12 00:32:51,0.8,1,False,he,short,True,,
629,treatment,4,2,2,2,1,1,Alex,2025-03-12 13:24:44,2025-03-12 13:25:35,0.8,1,False,en,short,True,,
631,treatment,8,4,4,4,3,1,Taylor,2025-03-12 13:23:57,2025-03-12 13:32:28,8.5,1,False,he,full,True,joint_rikma_jewish_arab,1.0
633,treatment,8,4,4,4,2,2,Alex,2025-03-12 13:20:52,2025-03-12 13:28:50,8.0,1,False,he,full,True,joint_rikma_jewish_arab,1.0
635,treatment,10,5,5,5,3,2,Alex,2025-03-12 13:20:35,2025-03-12 13:25:34,5.0,1,False,en,full,True,joint_rikma_jewish_arab,1.0
639,control,14,7,7,7,6,1,Alex,2025-03-12 13:26:23,2025-03-12 14:20:37,54.2,1,False,he,full,True,joint_rikma_jewish_arab,1.0
641,treatment,4,2,2,2,2,0,Taylor,2025-03-12 21:28:22,2025-03-12 21:28:58,0.6,1,False,en,short,True,,
643,treatment,6,3,3,3,3,0,Taylor,2025-03-12 13:45:04,2025-03-12 13:47:01,1.9,1,False,he,short,True,,
645,treatment,4,2,2,2,1,1,Alex,2025-03-12 13:58:59,2025-03-12 13:59:12,0.2,1,False,he,short,True,,
647,treatment,8,4,4,4,4,0,Taylor,2025-03-12 14:12:04,2025-03-12 14:16:25,4.3,1,False,he,full,True,polyron_sleep,1.0
649,control,4,2,2,1,2,0,Taylor,2025-03-12 14:12:19,2025-03-12 14:26:27,14.1,1,False,he,minimal,False,,
651,treatment,2,1,1,1,1,0,Taylor,2025-03-12 14:55:24,2025-03-12 14:55:26,0.0,1,False,he,minimal,False,,
659,treatment,2,1,1,1,1,0,Taylor,2025-03-12 15:47:12,2025-03-12 15:47:19,0.1,1,False,en,minimal,False,,
661,treatment,38,19,19,18,19,0,Taylor,2025-03-12 17:35:32,2025-03-12 17:50:33,15.0,1,False,he,full,True,ta_east_reut_yad_eliyahu,1.0
665,treatment,8,4,4,4,2,2,Alex,2025-03-12 21:11:25,2025-03-12 21:22:44,11.3,1,False,en,full,True,ichilov_rehab_future,1.0
667,treatment,36,18,18,18,18,0,Taylor,2025-03-12 20:54:26,2025-03-12 21:31:51,37.4,1,False,en,full,True,ichilov_rehab_future,0.9
669,treatment,6,3,3,0,2,1,Alex,2025-03-12 20:45:30,2025-03-12 20:57:16,11.8,1,False,en,junk,False,,
671,treatment,10,5,5,5,5,0,Taylor,2025-03-12 21:12:28,2025-03-13 01:26:07,253.7,2,True,en,full,True,ichilov_rehab_future,0.9
679,treatment,42,21,21,21,13,8,Taylor,2025-03-12 20:55:00,2025-03-12 21:31:34,36.6,1,False,en,full,True,ichilov_rehab_future,0.9
683,treatment,4,2,2,2,2,0,Taylor,2025-03-12 20:57:50,2025-03-12 21:25:25,27.6,1,False,en,short,True,,
685,control,10,5,5,5,1,4,Alex,2025-03-12 20:59:46,2025-03-12 21:03:11,3.4,1,False,en,full,True,ichilov_rehab_future,0.9
687,control,2,1,1,1,0,1,Alex,2025-03-12 20:54:18,2025-03-12 20:54:24,0.1,1,False,en,minimal,False,,
691,control,10,5,5,3,4,1,Taylor,2025-03-12 20:54:00,2025-03-12 21:07:20,13.3,1,False,mixed,short,True,,
693,control,34,17,17,17,9,8,Taylor,2025-03-12 20:44:47,2025-03-12 20:55:51,11.1,1,False,en,full,True,other_unclear,1.0
695,control,22,11,11,10,2,9,Alex,2025-03-12 20:57:32,2025-03-12 21:30:35,33.0,1,False,en,full,True,ichilov_rehab_future,0.9
697,treatment,6,3,3,3,2,1,Taylor,2025-03-12 22:18:54,2025-03-12 22:21:53,3.0,1,False,en,short,True,,
699,treatment,6,3,3,3,3,0,Taylor,2025-03-12 20:57:21,2025-03-12 21:02:30,5.2,1,False,en,short,True,,
701,control,18,9,9,8,6,3,Taylor,2025-03-12 21:04:07,2025-03-12 21:16:58,12.8,1,False,en,full,True,ichilov_rehab_future,0.9
703,control,4,2,2,2,2,0,Taylor,2025-03-12 20:57:24,2025-03-12 20:59:03,1.6,1,False,en,short,True,,
707,control,4,2,2,0,1,1,Alex,2025-03-12 20:53:47,2025-03-12 20:53:59,0.2,1,False,en,junk,False,,
711,treatment,8,4,4,4,3,1,Alex,2025-03-12 21:15:47,2025-03-12 21:18:01,2.2,1,False,en,full,True,ichilov_rehab_future,0.9
713,mixed,24,12,12,12,9,3,Taylor,2025-03-12 21:07:59,2025-03-12 22:21:32,73.5,1,False,en,mixed,False,,
719,treatment,20,10,10,10,3,7,Taylor,2025-03-12 20:54:36,2025-03-12 21:07:26,12.8,1,False,en,full,True,ichilov_rehab_future,0.9
