conversation_id,group,challenge_id,fluency,flexibility,orig_same,orig_all,orig_cross,within_idea_diversity
483,treatment,ta_south_community,9,1,0.2396,0.2444,0.1403,0.3299
485,treatment,other_unclear,10,2,0.242,0.243,0.1511,0.4624
487,treatment,joint_rikma_jewish_arab,3,2,0.2422,0.2471,0.1463,0.4474
523,treatment,joint_rikma_jewish_arab,6,1,0.2405,0.2475,0.0858,0.255
543,treatment,natal_trauma_language,2,1,0.3353,0.3335,0.227,0.2943
547,treatment,natal_trauma_language,7,1,0.267,0.2634,0.1035,0.2999
549,control,natal_trauma_language,5,1,0.2622,0.2475,0.1035,0.2766
555,treatment,ichilov_rehab_future,9,1,0.208,0.21,0.1322,0.3484
559,treatment,natal_trauma_language,4,1,0.2509,0.2516,0.1179,0.2596
569,treatment,natal_trauma_language,2,1,0.2851,0.2872,0.2224,0.2073
575,control,polyron_sleep,4,1,0.2821,0.2708,0.1179,0.2696
583,treatment,other_unclear,1,1,0.375,0.3731,0.3186,nan
593,treatment,joint_rikma_jewish_arab,14,2,0.2413,0.2463,0.0603,0.3218
595,treatment,joint_rikma_jewish_arab,10,1,0.213,0.2153,0.1268,0.3205
601,treatment,ichilov_rehab_future,2,1,0.2869,0.2863,0.1612,0.3461
605,control,ichilov_rehab_future,8,1,0.2175,0.2238,0.0834,0.3567
631,treatment,joint_rikma_jewish_arab,2,1,0.2672,0.2749,0.0821,0.3448
633,treatment,joint_rikma_jewish_arab,5,1,0.2926,0.2964,0.1157,0.3077
635,treatment,joint_rikma_jewish_arab,1,1,0.3295,0.3345,0.2064,nan
639,control,joint_rikma_jewish_arab,6,1,0.2873,0.2449,0.0603,0.2923
647,treatment,polyron_sleep,2,1,0.2638,0.2606,0.1573,0.3883
661,treatment,ta_east_reut_yad_eliyahu,7,1,0.1997,0.2003,0.133,0.3512
665,treatment,ichilov_rehab_future,1,1,0.3447,0.3455,0.2379,nan
667,treatment,ichilov_rehab_future,14,1,0.2186,0.2115,0.0719,0.3627
671,treatment,ichilov_rehab_future,4,1,0.2253,0.2253,0.1616,0.4296
679,treatment,ichilov_rehab_future,9,1,0.1951,0.1968,0.1493,0.3543
685,control,ichilov_rehab_future,2,1,0.3052,0.3094,0.1583,0.3336
693,control,other_unclear,5,2,0.396,0.3918,0.2638,0.3641
695,control,ichilov_rehab_future,6,1,0.2473,0.2594,0.0719,0.3573
701,control,ichilov_rehab_future,4,1,0.2837,0.2728,0.1698,0.2355
711,treatment,ichilov_rehab_future,3,1,0.243,0.2388,0.1112,0.2868
719,treatment,ichilov_rehab_future,3,1,0.2519,0.249,0.1173,0.275
721,treatment,other_unclear,1,1,0.4619,0.4605,0.3909,nan
727,treatment,ichilov_rehab_future,2,1,0.3242,0.3192,0.1779,0.218
731,treatment,natal_trauma_language,4,1,0.2204,0.2203,0.1164,0.3311
733,treatment,polyron_sleep,9,1,0.2658,0.2627,0.1846,0.3127
737,treatment,ichilov_rehab_future,6,1,0.2234,0.2211,0.098,0.3046
751,control,ichilov_rehab_future,8,1,0.2168,0.2191,0.0999,0.3712
753,treatment,ichilov_rehab_future,9,1,0.2245,0.2225,0.132,0.3518
769,treatment,galilee_upper,3,1,0.3176,0.3203,0.2473,0.3084
