conversation_id,group,n_user,n_days,challenge_id
751,control,15,1,ichilov_rehab_future
695,control,11,1,ichilov_rehab_future
549,control,10,1,natal_trauma_language
575,control,10,1,polyron_sleep
605,control,10,2,ichilov_rehab_future
593,treatment,23,2,joint_rikma_jewish_arab
679,treatment,21,1,ichilov_rehab_future
595,treatment,19,2,joint_rikma_jewish_arab
661,treatment,19,1,ta_east_reut_yad_eliyahu
667,treatment,18,1,ichilov_rehab_future
483,treatment,16,1,ta_south_community
731,treatment,16,1,natal_trauma_language
753,treatment,16,1,ichilov_rehab_future
737,treatment,15,1,ichilov_rehab_future
547,treatment,14,1,natal_trauma_language
733,treatment,13,1,polyron_sleep
523,treatment,11,1,joint_rikma_jewish_arab
719,treatment,10,1,ichilov_rehab_future
