conversation_id,group,criterion,score_A,score_B,final_score,decision,disagreement,high_disagreement,conv_word_count
483,treatment,agency_preservation,3.0,3.0,3.0,keep_mean,0.0,False,1642
483,treatment,anchor_management,2.0,2.0,2.0,keep_mean,0.0,False,1642
483,treatment,cognitive_load_clarity,3.0,3.0,3.0,keep_mean,0.0,False,1642
483,treatment,coregulation_uptake,3.0,3.0,3.0,keep_mean,0.0,False,1642
483,treatment,evaluative_discipline,2.0,2.0,2.0,keep_mean,0.0,False,1642
483,treatment,exploration_opening,3.0,3.0,3.0,keep_mean,0.0,False,1642
483,treatment,implementation_grounding,3.0,3.0,3.0,keep_mean,0.0,False,1642
483,treatment,premature_convergence_risk,1.0,1.0,1.0,keep_mean,0.0,False,1642
483,treatment,reframing_quality,2.0,2.0,2.0,keep_mean,0.0,False,1642
483,treatment,runaway_divergence_risk,1.0,1.0,1.0,keep_mean,0.0,False,1642
483,treatment,stance_integrity,3.0,3.0,3.0,keep_mean,0.0,False,1642
483,treatment,timing_fit,3.0,3.0,3.0,keep_mean,0.0,False,1642
523,treatment,agency_preservation,4.0,3.0,3.5,keep_mean,1.0,False,1660
523,treatment,anchor_management,3.0,2.0,2.5,keep_mean,1.0,False,1660
523,treatment,cognitive_load_clarity,4.0,3.0,3.5,keep_mean,1.0,False,1660
523,treatment,coregulation_uptake,4.0,3.0,3.5,keep_mean,1.0,False,1660
523,treatment,evaluative_discipline,2.0,2.0,2.0,keep_mean,0.0,False,1660
523,treatment,exploration_opening,3.0,3.0,3.0,keep_mean,0.0,False,1660
523,treatment,implementation_grounding,3.0,3.0,3.0,keep_mean,0.0,False,1660
523,treatment,premature_convergence_risk,1.0,1.0,1.0,keep_mean,0.0,False,1660
523,treatment,reframing_quality,3.0,3.0,3.0,keep_mean,0.0,False,1660
523,treatment,runaway_divergence_risk,1.0,1.0,1.0,keep_mean,0.0,False,1660
523,treatment,stance_integrity,3.0,3.0,3.0,keep_mean,0.0,False,1660
523,treatment,timing_fit,3.0,3.0,3.0,keep_mean,0.0,False,1660
547,treatment,agency_preservation,3.0,3.0,3.0,keep_mean,0.0,False,1736
547,treatment,anchor_management,1.0,2.0,1.5,keep_mean,1.0,False,1736
547,treatment,cognitive_load_clarity,3.0,3.0,3.0,keep_mean,0.0,False,1736
547,treatment,coregulation_uptake,3.0,3.0,3.0,keep_mean,0.0,False,1736
547,treatment,evaluative_discipline,1.0,2.0,1.5,keep_mean,1.0,False,1736
547,treatment,exploration_opening,2.0,2.0,2.0,keep_mean,0.0,False,1736
547,treatment,implementation_grounding,3.0,3.0,3.0,keep_mean,0.0,False,1736
547,treatment,premature_convergence_risk,1.0,1.0,1.0,keep_mean,0.0,False,1736
547,treatment,reframing_quality,2.0,2.0,2.0,keep_mean,0.0,False,1736
547,treatment,runaway_divergence_risk,0.0,1.0,0.5,keep_mean,1.0,False,1736
547,treatment,stance_integrity,3.0,3.0,3.0,keep_mean,0.0,False,1736
547,treatment,timing_fit,3.0,3.0,3.0,keep_mean,0.0,False,1736
549,control,agency_preservation,3.0,2.0,2.5,keep_mean,1.0,False,580
549,control,anchor_management,1.0,1.0,1.0,keep_mean,0.0,False,580
549,control,cognitive_load_clarity,3.0,3.0,3.0,keep_mean,0.0,False,580
549,control,coregulation_uptake,3.0,2.0,2.5,keep_mean,1.0,False,580
549,control,evaluative_discipline,0.0,0.0,0.0,keep_mean,0.0,False,580
549,control,exploration_opening,2.0,1.0,1.5,keep_mean,1.0,False,580
549,control,implementation_grounding,1.0,1.0,1.0,keep_mean,0.0,False,580
549,control,premature_convergence_risk,0.0,1.0,0.5,keep_mean,1.0,False,580
549,control,reframing_quality,0.0,0.0,0.0,keep_mean,0.0,False,580
549,control,runaway_divergence_risk,0.0,0.0,0.0,keep_mean,0.0,False,580
549,control,stance_integrity,3.0,2.0,2.5,keep_mean,1.0,False,580
549,control,timing_fit,3.0,2.0,2.5,keep_mean,1.0,False,580
575,control,agency_preservation,2.0,3.0,2.5,keep_mean,1.0,False,313
