criterion,treatment_mean,control_mean,hedges_g,p_value,design_direction
exploration_opening,2.54,1.8,1.06,0.007,OK
reframing_quality,1.92,0.4,2.04,0.001,OK
evaluative_discipline,1.42,0.2,1.42,0.002,OK
agency_preservation,2.85,2.4,0.7,0.114,OK
anchor_management,1.69,0.7,1.05,0.006,OK
coregulation_uptake,2.69,1.9,0.82,0.136,OK
timing_fit,2.38,2.1,0.3,0.516,OK
implementation_grounding,2.15,1.4,0.77,0.065,OK
cognitive_load_clarity,2.73,2.8,-0.11,0.8,
stance_integrity,2.46,1.6,0.76,0.172,OK
premature_convergence_risk,0.92,1.3,-0.45,0.382,OK (lower=better)
runaway_divergence_risk,1.35,0.8,0.58,0.168,
