conversation_id,group,n_user,switches,switch_rate,div_share_first_half,div_share_second_half,broker_moves
483,treatment,16,12,0.8,0.625,0.625,0
485,treatment,34,21,0.636,0.471,0.529,9
487,treatment,7,5,0.833,0.667,0.5,0
547,treatment,14,2,0.154,0.857,0.714,0
549,control,10,2,0.222,0.0,0.2,0
555,treatment,7,0,0.0,0.0,0.0,0
559,treatment,6,2,0.4,1.0,0.667,0
569,treatment,5,2,0.5,1.0,0.333,0
575,control,10,6,0.667,0.4,0.6,0
583,treatment,4,0,0.0,1.0,1.0,0
595,treatment,19,3,0.167,0.556,0.3,0
593,treatment,23,0,0.0,1.0,1.0,0
605,control,10,0,0.0,1.0,1.0,0
523,treatment,11,4,0.4,0.8,0.833,3
601,treatment,5,0,0.0,1.0,1.0,0
635,treatment,5,3,0.75,1.0,0.333,3
633,treatment,4,3,1.0,0.5,0.5,0
631,treatment,4,2,0.667,1.0,0.5,0
639,control,7,1,0.167,1.0,0.75,1
647,treatment,4,0,0.0,1.0,1.0,0
543,treatment,4,0,0.0,1.0,1.0,0
661,treatment,19,0,0.0,1.0,1.0,0
721,treatment,7,1,0.167,1.0,0.0,2
693,control,17,4,0.25,0.25,0.778,0
731,treatment,16,1,0.067,1.0,0.625,1
667,treatment,18,0,0.0,1.0,1.0,0
719,treatment,10,2,0.222,0.2,0.4,1
679,treatment,21,8,0.4,0.6,0.636,2
695,control,11,2,0.2,0.0,0.333,0
737,treatment,15,4,0.286,0.429,0.25,0
685,control,5,1,0.25,0.5,0.0,0
727,treatment,5,2,0.5,1.0,0.333,0
733,treatment,13,4,0.333,0.167,0.429,0
701,control,9,4,0.5,0.5,0.8,1
665,treatment,4,2,0.667,0.5,0.5,0
671,treatment,5,0,0.0,1.0,1.0,0
711,treatment,4,1,0.333,1.0,0.5,0
751,control,15,3,0.214,0.143,0.625,0
753,treatment,16,0,0.0,1.0,1.0,0
769,treatment,4,2,0.667,0.5,1.0,0
